store,upc_plu,price,price_type,price_priority,start_date,end_date
-----,-------,-----,----------,--------------,----------,--------
201,2001,0.69,REG,NULL,2026-01-10,NULL
201,2002,2.29,REG,NULL,2026-01-10,NULL
201,2003,4.49,TPR,99,2026-01-10,2026-01-17
201,2004,2.79,REG,NULL,2026-01-10,NULL
201,2005,3.49,REG,NULL,2026-01-10,NULL
201,2006,1.99,AD,35,2026-01-10,2026-01-16
201,2007,1.99,REG,NULL,2026-01-10,NULL
201,2008,2.49,REG,NULL,2026-01-10,NULL
201,2009,3.99,REG,NULL,2026-01-10,NULL
201,2010,1.29,REG,NULL,2026-01-10,NULL
201,2011,5.49,REG,NULL,2026-01-10,NULL
201,2012,4.99,TPR,99,2026-01-10,2026-01-24
201,2013,4.99,REG,NULL,2026-01-10,NULL
201,2014,3.49,REG,NULL,2026-01-10,NULL
201,2015,3.29,REG,NULL,2026-01-10,NULL
201,2016,4.99,REG,NULL,2026-01-10,NULL
201,2017,8.99,REG,NULL,2026-01-10,NULL
201,2018,6.49,AD,35,2026-01-10,2026-01-16
201,2019,14.99,REG,NULL,2026-01-10,NULL
201,2020,3.99,TPR,99,2026-01-10,2026-01-31
201,2021,5.49,REG,NULL,2026-01-10,NULL
201,2022,5.49,REG,NULL,2026-01-10,NULL
201,2023,4.29,REG,NULL,2026-01-10,NULL
201,2024,5.99,REG,NULL,2026-01-10,NULL
201,2025,3.99,AD,35,2026-01-10,2026-01-16
201,2026,5.29,REG,NULL,2026-01-10,NULL
201,2027,7.99,REG,NULL,2026-01-10,NULL
201,2028,2.49,REG,NULL,2026-01-10,NULL
201,2029,3.29,REG,NULL,2026-01-10,NULL
201,2030,11.99,REG,NULL,2026-01-10,NULL
201,2031,9.99,TPR,99,2026-01-10,2026-01-24
201,2032,6.99,REG,NULL,2026-01-10,NULL
201,2033,4.99,REG,NULL,2026-01-10,NULL
201,2034,5.99,REG,,2026-01-10,NULL
201,2035,7.99,REG,NULL,2026-01-10,NULL
201,2036,6.49,REG,NULL,2026-01-10,NULL
201,2037,9.99,REG,NULL,2026-01-10,2026-01-20
201,2038,25.00,REG,NULL,2026-01-10,NULL
201,2039,1.49,REG,NULL,2026-01-10,NULL
202,2001,0.74,REG,NULL,2026-01-10,NULL
202,2002,2.49,REG,NULL,2026-01-10,NULL
202,2003,4.79,TPR,99,2026-01-10,2026-01-17
202,2006,1.79,AD,35,2026-01-10,2026-01-16
