store,upc_plu,unit_size,description,sale_time,sale_time_zone,price_type,price_priority,unit_price,units_sold,Sales_Total
-----,-------,---------,-----------,---------,--------------,----------,--------------,----------,----------,-----------
101,1001,1 LB,Organic Bananas,1769558567000,US/Eastern,REG,NULL,0.59,4.20,2.48
101,1004,1 LB,Seedless Grapes,1769558678000,US/Eastern,TPR,99,2.99,2.80,8.37
101,1009,1 GAL,Whole Milk,1769558789000,US/Eastern,REG,NULL,3.49,1.00,3.49
101,1041,1 BUNCH,Organic Kale,1769558890000,US/Eastern,REG,NULL,3.49,1.00,3.49
101,1042,1 LB,Sweet Potatoes,1769559001000,US/Eastern,REG,NULL,1.29,2.50,3.23
101,1043,4 CT,Avocados,1769559112000,US/Eastern,TPR,99,1.99,1.00,1.99
101,1044,6 OZ,Blueberries,1769559223000,US/Eastern,REG,NULL,5.99,1.00,5.99
101,1017,1 LB,Chicken Breast,1769559334000,US/Eastern,REG,NULL,7.99,1.75,13.98
101,1019,1 LB,Salmon Fillet,1769559445000,US/Eastern,TPR,99,11.99,1.50,17.99
101,1001,1 LB,Organic Bananas,1769559556000,US/Eastern,REG,NULL,0.59,3.10,1.83
101,1025,10 OZ,Potato Chips,1769559667000,US/Eastern,AD,35,2.99,2.00,5.98
101,1031,100 OZ,Laundry Detergent,1769559778000,US/Eastern,AD,35,11.99,1.00,11.99
101,1012,1 DOZ,Large Eggs,1769559889000,US/Eastern,REG,NULL,3.79,1.00,3.79
101,1010,5.3 OZ,Greek Yogurt,1769560000000,US/Eastern,REG,NULL,5.99,6.00,35.94
101,1028,16 OZ,Pasta Penne,1769560111000,US/Eastern,REG,NULL,1.99,3.00,5.97
101,1002,1 LB,Red Delicious Apples,1769560222000,US/Eastern,REG,NULL,1.99,1.90,3.78
101,1005,1 LB,Roma Tomatoes,1769560333000,US/Eastern,REG,NULL,1.79,2.25,4.03
101,1007,1 HEAD,Romaine Lettuce,1769560444000,US/Eastern,REG,NULL,2.29,1.00,2.29
101,1015,1 LOAF,White Bread,1769560555000,US/Eastern,REG,NULL,2.49,2.00,4.98
101,1022,64 OZ,Orange Juice,1769560666000,US/Eastern,REG,NULL,4.49,1.00,4.49
101,1001,1 LB,Organic Bananas,1769560777000,US/Eastern,REG,NULL,0.59,2.45,1.45
101,1034,8 OZ,Hand Soap,1769560888000,US/Eastern,REG,NULL,3.99,2.00,7.98
101,1035,12 OZ,Shampoo,1769560999000,US/Eastern,REG,NULL,6.99,1.00,6.99
102,1001,1 LB,Organic Bananas,1769561110000,US/Central,REG,NULL,0.64,3.75,2.40
102,1004,1 LB,Seedless Grapes,1769561221000,US/Central,TPR,99,2.79,2.10,5.86
101,1043,4 CT,Avocados,1769561332000,US/Eastern,TPR,99,1.99,2.00,3.98
101,1001,1 LB,Organic Bananas,1769561443000,US/Eastern,REG,NULL,0.59,6.50,3.84
101,1020,1 EA,Frozen Pizza,1769561554000,US/Eastern,REG,NULL,6.99,1.00,6.99
