store,upc_plu,unit_size,description,sale_time,sale_time_zone,price_type,price_priority,unit_price,units_sold,Sales_Total
-----,-------,---------,-----------,---------,--------------,----------,--------------,----------,----------,-----------
201,2001,1 LB,ORGANIC BANANA,1768228956000,US/Pacific,REG,NULL,0.69,2.85,1.97
201,2002,1 LB,FUJI APPLES,1768229067000,US/Pacific,REG,NULL,2.29,1.60,3.66
201,2009,1 GAL,2% MILK,1768229178000,US/Pacific,REG,NULL,3.99,1.00,3.99
201,2012,1 DOZ,FREE RANGE EGGS,1768229289000,US/Pacific,TPR,99,4.99,1.00,4.99
201,2014,1 LOAF,Sourdough Bread,1768229400000,US/Pacific,REG,NULL,3.49,1.00,3.49
201,2003,1 LB,strawberries,1768229511000,US/Pacific,TPR,99,4.49,1.00,4.49
201,2008,1 CT,Celery Stalk,1768229622000,US/Pacific,REG,NULL,2.49,1.00,2.49
201,2017,1 LB,TURKEY BREAST,1768229733000,US/Pacific,REG,NULL,8.99,1.85,16.63
201,2001,1 LB,ORGANIC BANANA,1768229844000,US/Pacific,REG,NULL,0.69,5.30,3.66
201,2005,1 LB,Cherry Tomatoes,1768229955000,US/Pacific,REG,NULL,3.49,1.20,4.19
201,2006,1 EA,Yellow Peppers,1768230066000,US/Pacific,AD,35,1.99,2.00,3.98
201,2024,12 CT,sparkling water,1768230177000,US/Pacific,REG,NULL,5.99,1.00,5.99
201,2025,12 OZ,Tortilla Chips,1768230288000,US/Pacific,AD,35,3.99,1.00,3.99
201,2018,1 LB,Ground Turkey,1768230399000,US/Pacific,AD,35,6.49,2.75,17.85
201,2015,1 LOAF,Rye Bread,1768230510000,US/Pacific,REG,NULL,3.29,1.00,3.29
201,2022,64 OZ,CRANBERRY JUICE,1768230621000,US/Pacific,REG,NULL,5.49,1.00,5.49
201,2001,1 LB,ORGANIC BANANA,1768230732000,US/Pacific,REG,NULL,0.69,3.45,2.38
201,2010,6 OZ,Vanilla Yogurt,1768230843000,US/Pacific,REG,NULL,1.29,5.00,6.45
201,2028,1 LB,Spaghetti,1768230954000,US/Pacific,REG,NULL,2.49,2.00,4.98
201,2029,32 OZ,Marinara Sauce,1768231065000,US/Pacific,REG,NULL,3.29,1.00,3.29
201,2011,8 OZ,Swiss Cheese,1768231176000,US/Pacific,REG,NULL,5.49,1.00,5.49
201,2020,1 EA,Frozen Burrito,1768231287000,US/Pacific,TPR,99,3.99,2.00,7.98
201,2004,1 LB,green grapes,1768231398000,US/Pacific,REG,NULL,2.79,4.20,11.72
201,2032,200 CT,Napkins,1768231509000,US/Pacific,REG,NULL,6.99,1.00,6.99
201,2033,6 BX,Tissues,1768231620000,US/Pacific,REG,NULL,4.99,1.00,4.99
201,2001,1 LB,ORGANIC BANANA,1768231731000,US/Pacific,REG,NULL,0.69,4.85,3.35
201,2002,1 LB,FUJI APPLES,1768231842000,US/Pacific,REG,NULL,2.29,1.95,4.47
201,2007,1 HEAD,Iceberg Lettuce,1768231953000,US/Pacific,REG,NULL,1.99,1.00,1.99
201,2021,0.5 GAL,Chocolate Ice Cream,1768232064000,US/Pacific,REG,NULL,5.49,1.00,5.49
201,2013,1 LB,SALTED BUTTER,1768232175000,US/Pacific,REG,NULL,4.99,1.00,4.99
201,2031,50 OZ,DISH SOAP,1768232286000,US/Pacific,TPR,99,9.99,1.00,9.99
202,2001,1 LB,ORGANIC BANANA,1768232397000,US/Mountain,REG,NULL,0.74,3.10,2.29
202,2002,1 LB,FUJI APPLES,1768232508000,US/Mountain,REG,NULL,2.49,2.05,5.10
202,2003,1 LB,strawberries,1768232619000,US/Mountain,TPR,99,4.79,1.00,4.79
202,2006,1 EA,Yellow Peppers,1768232730000,US/Mountain,AD,35,1.79,3.00,5.37
201,2039,1 EA,canvas tote,1768232841000,US/Pacific,REG,NULL,1.49,2.00,2.98
201,2001,1 LB,ORGANIC BANANA,1768232952000,US/Pacific,REG,NULL,0.69,2.10,1.45
201,8888,1 EA,MISSING PRODUCT,1768233063000,US/Pacific,REG,NULL,NULL,1.00,7.50
