store, upc_plu, unit_size, description, sale_time, sale_time_zone, price_type, price_priority, price_multiple, unit_multiple, unit_price, units_sold, total_sale
SP2,80000000001001,1LB,Organic bananas,1770768000000,US/Eastern,REG,1,0.00,0.0,0.69,5.8900,4.0641
SP2,80000000001002,1LB,Fresh strawberries,1770768000000,US/Eastern,REG,1,3.99,1.0,3.99,1.00,3.99
SP2,80000000001003,6OZ,Blueberries Organic,1770768000000,US/Eastern,REG,1,8.98,2.0,4.49,2.00,8.98
SP2,80000000001004,EACH,Hass Avocados,1770768000000,US/Eastern,REG,1,7.74,6.0,1.29,6.00,7.74
SP2,80000000001005,1CT,Romaine Lettuce,1770768000000,US/Eastern,REG,1,7.47,3.0,2.49,3.00,7.47
SP2,80000000001006,16OZ,baby spinach,1770768000000,US/Eastern,REG,1,11.97,3.0,3.99,3.00,11.97
SP2,80000000001007,1CT,Kale bunches,1770768000000,US/Eastern,REG,1,5.98,2.0,2.99,2.00,5.98
SP2,80000000001008,EACH,sweet Corn,1770768000000,US/Eastern,REG,1,5.00,10.0,0.50,10.00,5.00
SP2,80000000001009,1LB,Cherry TOMATOES,1770768000000,US/Eastern,REG,1,10.47,3.0,3.49,3.00,10.47
SP2,80000000001010,10OZ,grape tomatoes,1770768000000,US/Eastern,REG,1,8.97,3.0,2.99,3.00,8.97
SP2,80000000001011,1LB,Carrots organic,1770768000000,US/Eastern,REG,1,0.00,0.0,1.99,5.1200,10.1888
SP2,80000000001012,1LB,broccoli crowns,1770768000000,US/Eastern,REG,1,0.00,0.0,2.99,3.4500,10.3155
SP2,80000000001013,1CT,CAULIFLOWER,1770768000000,US/Eastern,REG,1,10.47,3.0,3.49,3.00,10.47
SP2,80000000001014,1LB,Green Beans,1770768000000,US/Eastern,REG,1,0.00,0.0,2.49,2.8900,7.1961
SP2,80000000001015,1LB,yellow Squash,1770768000000,US/Eastern,REG,1,0.00,0.0,1.49,1.7800,2.6522
SP2,80000000001016,1LB,Zucchini,1770768000000,US/Eastern,REG,1,0.00,0.0,1.49,2.1200,3.1588
SP2,80000000001017,EACH,Red bell peppers,1770768000000,US/Eastern,REG,1,7.96,4.0,1.99,4.00,7.96
SP2,80000000001018,EACH,green bell Peppers,1770768000000,US/Eastern,REG,1,6.45,5.0,1.29,5.00,6.45
SP2,80000000001019,1LB,yellow Onions,1770768000000,US/Eastern,REG,1,0.00,0.0,0.99,7.8900,7.8111
SP2,80000000001020,1LB,Red onions,1770768000000,US/Eastern,REG,1,0.00,0.0,1.29,5.2300,6.7467
SP2,80000000001021,5LB,Russet potatoes,1770768000000,US/Eastern,REG,1,9.98,2.0,4.99,2.00,9.98
SP2,80000000001022,1LB,sweet Potatoes,1770768000000,US/Eastern,REG,1,0.00,0.0,1.49,4.5600,6.7944
SP2,80000000001023,3LB,yukon Gold Potatoes,1770768000000,US/Eastern,REG,1,3.99,1.0,3.99,1.00,3.99
SP2,80000000001024,3CT,garlic Bulbs,1770768000000,US/Eastern,REG,1,5.98,2.0,2.99,2.00,5.98
SP2,80000000001025,1LB,Fresh ginger Root,1770768000000,US/Eastern,REG,1,0.00,0.0,3.49,1.2300,4.2927
SP2,80000000001029,1LB,red Grapes Seedless,1770768000000,US/Eastern,REG,1,0.00,0.0,3.99,4.5600,18.1944
SP2,80000000001030,1LB,Green grapes Seedless,1770768000000,US/Eastern,REG,1,0.00,0.0,3.99,3.1200,12.4488
SP2,80000000001031,1LB,Fuji apples,1770768000000,US/Eastern,REG,1,0.00,0.0,1.99,7.2300,14.3877
SP2,80000000001032,1LB,Gala apples,1770768000000,US/Eastern,REG,1,0.00,0.0,1.79,4.8900,8.7531
SP2,80000000001033,1LB,granny Smith Apples,1770768000000,US/Eastern,REG,1,0.00,0.0,1.89,3.8900,7.3521
SP2,80000000001034,1CT,navel Oranges,1770768000000,US/Eastern,REG,1,7.11,9.0,0.79,9.00,7.11
SP2,80000000001035,3LB,mandarin Oranges,1770768000000,US/Eastern,REG,1,11.98,2.0,5.99,2.00,11.98
SP2,80000000001036,1CT,Lemons,1770768000000,US/Eastern,REG,1,5.31,9.0,0.59,9.00,5.31
SP2,80000000001037,1CT,Limes,1770768000000,US/Eastern,REG,1,2.94,6.0,0.49,6.00,2.94
SP2,80000000001038,EACH,pineapple fresh,1770768000000,US/Eastern,REG,1,7.98,2.0,3.99,2.00,7.98
SP2,80000000001039,EACH,Mangoes,1770768000000,US/Eastern,REG,1,5.96,4.0,1.49,4.00,5.96
SP2,80000000001040,1LB,Bartlett Pears,1770768000000,US/Eastern,REG,1,0.00,0.0,1.99,3.4500,6.8655
SP2,80000000001041,1LB,BOSC PEARS,1770768000000,US/Eastern,REG,1,0.00,0.0,2.29,2.1200,4.8548
SP2,80000000001042,1LB,Asparagus,1770768000000,US/Eastern,REG,1,0.00,0.0,4.99,1.8900,9.4311
