store, upc_plu, unit_size, description, sale_time, sale_time_zone, price_type, price_priority, price_multiple, unit_multiple, unit_price, units_sold, total_sale
SP1,80000000001001,1LB,ORGANIC BANANAS,1770768000000,US/Eastern,REG,1,0.00,0.0,0.69,4.5600,3.1464
SP1,80000000001002,1LB,FRESH STRAWBERRIES,1770768000000,US/Eastern,REG,1,7.98,2.0,3.99,2.00,7.98
SP1,80000000001003,6OZ,BLUEBERRIES ORGANIC,1770768000000,US/Eastern,REG,1,4.49,1.0,4.49,1.00,4.49
SP1,80000000001004,EACH,HASS AVOCADOS,1770768000000,US/Eastern,REG,1,6.45,5.0,1.29,5.00,6.45
SP1,80000000001005,1CT,ROMAINE LETTUCE,1770768000000,US/Eastern,REG,1,4.98,2.0,2.49,2.00,4.98
SP1,80000000001006,16OZ,BABY SPINACH,1770768000000,US/Eastern,REG,1,7.98,2.0,3.99,2.00,7.98
SP1,80000000001007,1CT,KALE BUNCHES,1770768000000,US/Eastern,REG,1,8.97,3.0,2.99,3.00,8.97
SP1,80000000001008,EACH,SWEET CORN,1770768000000,US/Eastern,REG,1,4.00,8.0,0.50,8.00,4.00
SP1,80000000001009,1LB,CHERRY TOMATOES,1770768000000,US/Eastern,REG,1,6.98,2.0,3.49,2.00,6.98
SP1,80000000001010,10OZ,GRAPE TOMATOES,1770768000000,US/Eastern,REG,1,11.96,4.0,2.99,4.00,11.96
SP1,80000000001011,1LB,CARROTS ORGANIC,1770768000000,US/Eastern,REG,1,0.00,0.0,1.99,4.8900,9.7311
SP1,80000000001012,1LB,BROCCOLI CROWNS,1770768000000,US/Eastern,REG,1,0.00,0.0,2.99,2.6700,7.9833
SP1,80000000001013,1CT,CAULIFLOWER,1770768000000,US/Eastern,REG,1,6.98,2.0,3.49,2.00,6.98
SP1,80000000001014,1LB,GREEN BEANS,1770768000000,US/Eastern,REG,1,0.00,0.0,2.49,2.1500,5.3535
SP1,80000000001015,1LB,YELLOW SQUASH,1770768000000,US/Eastern,REG,1,0.00,0.0,1.49,2.4500,3.6505
SP1,80000000001016,1LB,ZUCCHINI,1770768000000,US/Eastern,REG,1,0.00,0.0,1.49,1.8900,2.8161
SP1,80000000001017,EACH,RED BELL PEPPERS,1770768000000,US/Eastern,REG,1,9.95,5.0,1.99,5.00,9.95
SP1,80000000001018,EACH,GREEN BELL PEPPERS,1770768000000,US/Eastern,REG,1,7.74,6.0,1.29,6.00,7.74
SP1,80000000001019,1LB,YELLOW ONIONS,1770768000000,US/Eastern,REG,1,0.00,0.0,0.99,6.7800,6.7122
SP1,80000000001020,1LB,RED ONIONS,1770768000000,US/Eastern,REG,1,0.00,0.0,1.29,4.1200,5.3148
SP1,80000000001021,5LB,RUSSET POTATOES,1770768000000,US/Eastern,REG,1,14.97,3.0,4.99,3.00,14.97
SP1,80000000001022,1LB,SWEET POTATOES,1770768000000,US/Eastern,REG,1,0.00,0.0,1.49,5.1200,7.6288
SP1,80000000001023,3LB,YUKON GOLD POTATOES,1770768000000,US/Eastern,REG,1,7.98,2.0,3.99,2.00,7.98
SP1,80000000001029,1LB,RED GRAPES SEEDLESS,1770768000000,US/Eastern,REG,1,0.00,0.0,3.99,3.8900,15.5211
SP1,80000000001030,1LB,GREEN GRAPES SEEDLESS,1770768000000,US/Eastern,REG,1,0.00,0.0,3.99,2.6700,10.6533
SP1,80000000001031,1LB,FUJI APPLES,1770768000000,US/Eastern,REG,1,0.00,0.0,1.99,6.8900,13.7111
SP1,80000000001032,1LB,GALA APPLES,1770768000000,US/Eastern,REG,1,0.00,0.0,1.79,5.4500,9.7555
SP1,80000000001033,1LB,GRANNY SMITH APPLES,1770768000000,US/Eastern,REG,1,0.00,0.0,1.89,4.2300,7.9947
SP1,80000000001034,1CT,NAVEL ORANGES,1770768000000,US/Eastern,REG,1,9.48,12.0,0.79,12.00,9.48
SP1,80000000001035,3LB,MANDARIN ORANGES,1770768000000,US/Eastern,REG,1,11.98,2.0,5.99,2.00,11.98
SP1,80000000001036,1CT,LEMONS,1770768000000,US/Eastern,REG,1,4.72,8.0,0.59,8.00,4.72
SP1,80000000001037,1CT,LIMES,1770768000000,US/Eastern,REG,1,3.43,7.0,0.49,7.00,3.43
SP1,80000000001038,EACH,PINEAPPLE FRESH,1770768000000,US/Eastern,REG,1,11.97,3.0,3.99,3.00,11.97
SP1,80000000001039,EACH,MANGOES,1770768000000,US/Eastern,REG,1,5.96,4.0,1.49,4.00,5.96
SP1,80000000001040,1LB,BARTLETT PEARS,1770768000000,US/Eastern,REG,1,0.00,0.0,1.99,2.8900,5.7511
SP1,80000000001041,1LB,BOSC PEARS,1770768000000,US/Eastern,REG,1,0.00,0.0,2.29,1.7800,4.0762
