upc_plu, description, department, category, unit_size, pack_size, link_code
80000000001001,organic Bananas,PRODUCE,FRUIT,1LB,40,BANANAS BULK, 80000000001001, 
80000000001002,Fresh Strawberries,PRODUCE,FRUIT,1LB,12,STRAWBERRIES BULK, 80000000001002, 
80000000001003,BLUEBERRIES ORGANIC,PRODUCE,FRUIT,6OZ,18, 
80000000001004,Hass Avocados ,PRODUCE,FRUIT,EACH,48,AVOCADOS BULK, 80000000001004, 
80000000001005,romaine lettuce,PRODUCE,VEGETABLE,1CT,24, 
80000000001006,BABY SPINACH,PRODUCE,VEGETABLE,16OZ,12, 
80000000001007,Kale Bunches,PRODUCE,VEGETABLE,1CT,12, 
80000000001008,Sweet Corn,PRODUCE,VEGETABLE,EACH,48, 
80000000001009,Cherry tomatoes,PRODUCE,VEGETABLE,1LB,12, 
80000000001010,GRAPE TOMATOES,PRODUCE,VEGETABLE,10OZ,15, 
80000000001011,carrots organic,PRODUCE,VEGETABLE,1LB,24, 
80000000001012,Broccoli Crowns,PRODUCE,VEGETABLE,1LB,18,BROCCOLI BULK, 80000000001012, 
80000000001013,Cauliflower,PRODUCE,VEGETABLE,1CT,12, 
80000000001014,green beans,PRODUCE,VEGETABLE,1LB,12, 
80000000001015,YELLOW SQUASH,PRODUCE,VEGETABLE,1LB,24, 
80000000001016,Zucchini,PRODUCE,VEGETABLE,1LB,24, 
80000000001017,red bell peppers,PRODUCE,VEGETABLE,EACH,24,RED PEPPER BULK, 80000000001017, 
80000000001018,Green Bell Peppers,PRODUCE,VEGETABLE,EACH,24, 
80000000001019,yellow onions,PRODUCE,VEGETABLE,1LB,50, 
80000000001020,RED ONIONS,PRODUCE,VEGETABLE,1LB,50,RED ONIONS BULK, 80000000001020, 
80000000001021,Russet Potatoes,PRODUCE,VEGETABLE,5LB,10, 
80000000001022,Sweet potatoes,PRODUCE,VEGETABLE,1LB,40, 
80000000001023,yukon gold potatoes,PRODUCE,,3LB,8, 
80000000001024,Garlic Bulbs,PRODUCE,VEGETABLE,3CT,36, 
80000000001025,FRESH GINGER ROOT,PRODUCE,VEGETABLE,1LB,10, 
80000000001026,Seedless Watermelon,PRODUCE,FRUIT,EACH,50, 
80000000001027,cantaloupe,PRODUCE,FRUIT,EACH,30, 
80000000001028,Honeydew melon,PRODUCE,FRUIT,EACH,20, 
80000000001029,Red grapes seedless,PRODUCE,FRUIT,1LB,18,RED GRAPES BULK, 80000000001029, 
80000000001030,green grapes Seedless,PRODUCE,FRUIT,1LB,18, 
80000000001031,FUJI APPLES,PRODUCE,FRUIT,1LB,40,FUJI APPLES BULK, 80000000001031, 
80000000001032,Gala Apples,PRODUCE,FRUIT,1LB,40, 
80000000001033,granny smith apples,PRODUCE,FRUIT,1LB,40, 
80000000001034,Navel Oranges,PRODUCE,FRUIT,1CT,88,NAVEL ORANGES BULK, 80000000001034, 
80000000001035,MANDARIN ORANGES,PRODUCE,FRUIT,3LB,8, 
80000000001036,lemons,PRODUCE,FRUIT,1CT,75, 
80000000001037,Limes,PRODUCE,FRUIT,1CT,54, 
80000000001038,pineapple Fresh,PRODUCE,FRUIT,EACH,8, 
80000000001039,Mangoes,PRODUCE,FRUIT,EACH,18, 
80000000001040,bartlett pears,PRODUCE,FRUIT,1LB,40, 
80000000001041,BOSC PEARS,PRODUCE,FRUIT,1LB,40, 
80000000001042,Asparagus,PRODUCE,VEGETABLE,1LB,11, 
80000000001043,brussels Sprouts,PRODUCE,VEGETABLE,1LB,12, 
80000000001044,Fresh cilantro,PRODUCE,HERBS,1CT,24, 
80000000001045,fresh Parsley,PRODUCE,HERBS,1CT,24, 
80000000001051,Peaches,PRODUCE,FRUIT,1LB,30, 
80000000001052,Nectarines,PRODUCE,FRUIT,1LB,30, 
80000000001053,PLUMS,PRODUCE,FRUIT,1LB,28, 
80000000001054,Blackberries,PRODUCE,FRUIT,6OZ,12, 
80000000001055,Raspberries,PRODUCE,FRUIT,6OZ,12, 
