store,upc_plu,unit_size,description,sale_time,sale_time_zone,price_type,price_priority,unit_price,units_sold,Sales_Total
-----,-------,---------,-----------,---------,--------------,----------,--------------,----------,----------,-----------
201,2001,1 LB,ORGANIC BANANA,1770419234000,US/Pacific,REG,NULL,0.69,3.95,2.73
201,2004,1 LB,green grapes,1770419345000,US/Pacific,TPR,99,3.29,3.10,10.20
201,2009,1 GAL,2% MILK,1770419456000,US/Pacific,REG,NULL,3.99,1.00,3.99
201,2041,1 EA,Pineapple,1770419567000,US/Pacific,REG,NULL,4.49,1.00,4.49
201,2042,1 LB,Asparagus,1770419678000,US/Pacific,REG,NULL,3.99,1.75,6.98
201,2043,3 CT,Mangoes,1770419789000,US/Pacific,TPR,99,2.49,1.00,2.49
201,2044,6 OZ,Raspberries,1770419900000,US/Pacific,REG,NULL,6.99,1.00,6.99
201,2017,1 LB,TURKEY BREAST,1770420011000,US/Pacific,REG,NULL,8.99,2.10,18.88
201,2019,1 LB,TUNA STEAK,1770420122000,US/Pacific,TPR,99,13.99,1.25,17.49
201,2001,1 LB,ORGANIC BANANA,1770420233000,US/Pacific,REG,NULL,0.69,4.60,3.17
201,2025,12 OZ,Tortilla Chips,1770420344000,US/Pacific,AD,35,3.49,2.00,6.98
201,2031,50 OZ,DISH SOAP,1770420455000,US/Pacific,AD,35,8.99,1.00,8.99
201,2012,1 DOZ,FREE RANGE EGGS,1770420566000,US/Pacific,REG,NULL,5.49,1.00,5.49
201,2010,6 OZ,Vanilla Yogurt,1770420677000,US/Pacific,REG,NULL,1.29,7.00,9.03
201,2028,16 OZ,Spaghetti,1770420788000,US/Pacific,REG,NULL,2.49,2.00,4.98
201,2002,1 LB,FUJI APPLES,1770420899000,US/Pacific,REG,NULL,2.29,2.35,5.38
201,2005,1 LB,Cherry Tomatoes,1770421010000,US/Pacific,REG,NULL,3.49,1.85,6.46
201,2007,1 HEAD,Iceberg Lettuce,1770421121000,US/Pacific,REG,NULL,1.99,1.00,1.99
201,2015,1 LOAF,Rye Bread,1770421232000,US/Pacific,REG,NULL,3.29,1.00,3.29
201,2022,64 OZ,CRANBERRY JUICE,1770421343000,US/Pacific,REG,NULL,5.49,1.00,5.49
201,2001,1 LB,ORGANIC BANANA,1770421454000,US/Pacific,REG,NULL,0.69,2.75,1.90
201,2034,16 OZ,Body Wash,1770421565000,US/Pacific,REG,NULL,5.99,1.00,5.99
201,2035,12 OZ,Conditioner,1770421676000,US/Pacific,REG,NULL,7.99,1.00,7.99
202,2001,1 LB,ORGANIC BANANA,1770421787000,US/Mountain,REG,NULL,0.74,4.20,3.11
202,2004,1 LB,green grapes,1770421898000,US/Mountain,TPR,99,3.09,2.65,8.19
201,2043,3 CT,Mangoes,1770422009000,US/Pacific,TPR,99,2.49,2.00,4.98
201,2001,1 LB,ORGANIC BANANA,1770422120000,US/Pacific,REG,NULL,0.69,5.80,4.00
201,2020,1 EA,Frozen Burrito,1770422231000,US/Pacific,REG,NULL,3.99,2.00,7.98
