store,upc_plu,unit_size,description,sale_time,sale_time_zone,price_type,price_priority,unit_price,units_sold,Sales_Total
-----,-------,---------,-----------,---------,--------------,----------,--------------,----------,----------,-----------
301,3001,1 LB,Yellow Banana,1767504123000,US/Eastern,REG,NULL,0.49,4.15,2.03
301,3002,1 LB,Gala Apple,1767504234000,US/Eastern,REG,NULL,1.89,1.75,3.31
301,3009,1 GAL,Whole Milk Gallon,1767504345000,US/Eastern,REG,NULL,3.29,1.00,3.29
301,3012,1 DOZ,Organic Eggs,1767504456000,US/Eastern,TPR,99,4.79,1.00,4.79
301,3014,1 LOAF,Multigrain Bread,1767504567000,US/Eastern,REG,NULL,3.19,1.00,3.19
301,3003,1 LB,Strawberry Package,1767504678000,US/Eastern,TPR,99,3.49,1.00,3.49
301,3008,2 LB,Baby Carrot Bag,1767504789000,US/Eastern,REG,NULL,2.79,1.00,2.79
301,3017,1 LB,Boneless Chicken,1767504900000,US/Eastern,REG,NULL,7.49,2.15,16.10
301,3001,1 LB,Yellow Banana,1767505011000,US/Eastern,REG,NULL,0.49,5.85,2.87
301,3005,1 LB,Plum Tomato,1767505122000,US/Eastern,REG,NULL,1.49,2.10,3.13
301,3006,1 EA,Red Bell Pepper,1767505233000,US/Eastern,AD,35,1.79,2.00,3.58
301,3024,2 L,Diet Soda,1767505344000,US/Eastern,REG,NULL,1.79,3.00,5.37
301,3025,16 OZ,Pretzels,1767505455000,US/Eastern,AD,35,2.99,1.00,2.99
301,3018,1 LB,Ground Chuck,1767505566000,US/Eastern,AD,35,5.49,2.50,13.73
301,3015,1 LOAF,Italian Bread,1767505677000,US/Eastern,REG,NULL,2.99,1.00,2.99
301,3022,64 OZ,Grapefruit Juice,1767505788000,US/Eastern,REG,NULL,4.99,1.00,4.99
301,3001,1 LB,Yellow Banana,1767505899000,US/Eastern,REG,NULL,0.49,3.20,1.57
301,3010,5.3 OZ,Strawberry Yogurt,1767506010000,US/Eastern,REG,NULL,1.19,5.00,5.95
301,3028,1 LB,Rigatoni Pasta,1767506121000,US/Eastern,REG,NULL,2.19,2.00,4.38
301,3029,8 OZ,Pesto Sauce,1767506232000,US/Eastern,REG,NULL,4.99,1.00,4.99
301,3011,8 OZ,Mozzarella Cheese,1767506343000,US/Eastern,REG,NULL,4.79,1.00,4.79
301,3020,1 EA,Frozen Lasagna,1767506454000,US/Eastern,TPR,99,7.99,1.00,7.99
301,3004,1 LB,Red Grapes,1767506565000,US/Eastern,REG,NULL,2.99,3.85,11.51
301,3032,1 ROLL,Aluminum Foil,1767506676000,US/Eastern,REG,NULL,5.99,1.00,5.99
301,3033,1 ROLL,Plastic Wrap,1767506787000,US/Eastern,REG,NULL,4.49,1.00,4.49
301,3001,1 LB,Yellow Banana,1767506898000,US/Eastern,REG,NULL,0.49,6.10,2.99
301,3002,1 LB,Gala Apple,1767507009000,US/Eastern,REG,NULL,1.89,1.55,2.93
301,3007,1 HEAD,Green Leaf Lettuce,1767507120000,US/Eastern,REG,NULL,2.49,1.00,2.49
301,3021,0.5 GAL,Strawberry Ice Cream,1767507231000,US/Eastern,REG,NULL,4.49,1.00,4.49
301,3013,1 LB,European Butter,1767507342000,US/Eastern,REG,NULL,4.29,1.00,4.29
301,3031,64 OZ,Fabric Softener,1767507453000,US/Eastern,TPR,99,10.99,1.00,10.99
303,3001,1 LB,Yellow Banana,1767507564000,US/Mountain,REG,NULL,0.54,2.95,1.59
303,3002,1 LB,Gala Apple,1767507675000,US/Mountain,REG,NULL,2.09,1.85,3.87
303,3003,1 LB,Strawberry Package,1767507786000,US/Mountain,TPR,99,3.79,1.00,3.79
303,3006,1 EA,Red Bell Pepper,1767507897000,US/Mountain,AD,35,1.59,3.00,4.77
301,3039,1 EA,Insulated Bag,1767508008000,US/Eastern,REG,NULL,2.99,1.00,2.99
301,3001,1 LB,Yellow Banana,1767508119000,US/Eastern,REG,NULL,0.49,2.40,1.18
301,3040,1 LB,Brussels Sprouts,1767508230000,US/Eastern,REG,NULL,2.99,1.50,4.49
